model,referecne,metric,value
growth_rate_simulated_iEcDH1_1363,is_essential_file_can_grow,Specificity,0.14285714285714285
growth_rate_simulated_iEcDH1_1363,growth_rate_file_1,Accuracy,0.8888888888888888
growth_rate_simulated_iEcDH1_1363,growth_rate_file_1,Precision,1.0
growth_rate_simulated_iEcDH1_1363,growth_rate_file_1,Recall,0.875
growth_rate_simulated_iEcDH1_1363,growth_rate_file_1,F1 Score,0.9333333333333333
growth_rate_simulated_iEcDH1_1363,growth_rate_file_1,Specificity,0.14285714285714285
growth_rate_simulated_iEcDH1_1363,growth_rate_file_2,Accuracy,1.0
growth_rate_simulated_iEcDH1_1363,growth_rate_file_2,Precision,1.0
growth_rate_simulated_iEcDH1_1363,growth_rate_file_2,Recall,1.0
growth_rate_simulated_iEcDH1_1363,growth_rate_file_2,F1 Score,1.0
growth_rate_simulated_iEcDH1_1363,growth_rate_file_2,Specificity,0.0
growth_rate_simulated_iECDH1ME8569_1439,is_essential_file_can_grow,Accuracy,0.859504132231405
growth_rate_simulated_iECDH1ME8569_1439,is_essential_file_can_grow,Precision,0.906163753449862
growth_rate_simulated_iECDH1ME8569_1439,is_essential_file_can_grow,Recall,0.9354226020892688
growth_rate_simulated_iECDH1ME8569_1439,is_essential_file_can_grow,F1 Score,0.9205607476635513
growth_rate_simulated_iECDH1ME8569_1439,is_essential_file_can_grow,Specificity,0.050597976080956765
growth_rate_simulated_iECDH1ME8569_1439,growth_rate_file_1,Accuracy,0.868380062305296
growth_rate_simulated_iECDH1ME8569_1439,growth_rate_file_1,Precision,0.9215517241379311
growth_rate_simulated_iECDH1ME8569_1439,growth_rate_file_1,Recall,0.9319965126416739
growth_rate_simulated_iECDH1ME8569_1439,growth_rate_file_1,F1 Score,0.9267446900736888
growth_rate_simulated_iECDH1ME8569_1439,growth_rate_file_1,Specificity,0.039655172413793106
growth_rate_simulated_iECDH1ME8569_1439,growth_rate_file_2,Accuracy,0.9383177570093458
growth_rate_simulated_iECDH1ME8569_1439,growth_rate_file_2,Precision,1.0
growth_rate_simulated_iECDH1ME8569_1439,growth_rate_file_2,Recall,0.9383177570093458
growth_rate_simulated_iECDH1ME8569_1439,growth_rate_file_2,F1 Score,0.9681774349083896
growth_rate_simulated_iECDH1ME8569_1439,growth_rate_file_2,Specificity,0.0
growth_rate_simulated_iEcE24377_1341,is_essential_file_can_grow,Accuracy,0.8499043977055449
growth_rate_simulated_iEcE24377_1341,is_essential_file_can_grow,Precision,0.9028384279475983
growth_rate_simulated_iEcE24377_1341,is_essential_file_can_grow,Recall,0.924022346368715
